"","sp","Date","Sum","Type","Season"
"1","CYGOLO","08.04.06",380,"Local","Spring"
"2","CYGOLO","26.11.93",230,"Local","Autumn"
"3","CYGOLO","08.12.02",230,"Local","Autumn"
"4","CYGOLO","11.03.03",72,"Migr","Spring"
"5","CYGOLO","31.12.02",47,"Migr","Autumn"
"6","CYGCOL","08.04.82",4,"Local","Spring"
"7","CYGCOL","04.10.84",7,"Local","Autumn"
"8","CYGCOL","05.10.84",7,"Local","Autumn"
"9","CYGCOL","20.04.01",4,"Migr","Spring"
"10","CYGCOL","20.03.02",4,"Migr","Spring"
"11","CYGCOL","09.04.06",4,"Migr","Spring"
"12","CYGCOL","29.09.84",43,"Migr","Autumn"
"13","CYGCYG","08.02.14",130,"Local","Spring"
"14","CYGCYG","21.12.12",78,"Local","Autumn"
"15","CYGCYG","05.04.11",61,"Migr","Spring"
"16","CYGCYG","01.12.12",352,"Migr","Autumn"
"17","ANSFAB","12.05.91",2,"Local","Spring"
"18","ANSFAB","15.04.98",2,"Local","Spring"
"19","ANSFAB","12.04.99",2,"Local","Spring"
"20","ANSFAB","10.09.00",12,"Local","Autumn"
"21","ANSFAB","19.03.17",223,"Migr","Spring"
"22","ANSFAB","01.10.06",658,"Migr","Autumn"
"23","ANSBRA","13.04.16",6,"Migr","Spring"
"24","ANSBRA","29.09.08",3,"Migr","Autumn"
"25","ANSALB","07.05.94",4,"Local","Spring"
"26","ANSALB","06.10.89",15,"Local","Autumn"
"27","ANSALB","03.05.91",88,"Migr","Spring"
"28","ANSALB","01.10.17",1824,"Migr","Autumn"
"29","ANSANS","27.05.00",35,"Local","Spring"
"30","ANSANS","21.05.07",35,"Local","Spring"
"31","ANSANS","26.08.07",950,"Local","Autumn"
"32","ANSANS","01.04.11",248,"Migr","Spring"
"33","ANSANS","29.09.04",1445,"Migr","Autumn"
"34","ANSCAE","01.06.88",2,"Migr","Spring"
"35","BRACAN","11.04.13",38,"Local","Spring"
"36","BRACAN","12.04.13",38,"Local","Spring"
"37","BRACAN","06.12.05",42,"Local","Autumn"
"38","BRACAN","07.12.05",42,"Local","Autumn"
"39","BRACAN","15.04.13",158,"Migr","Spring"
"40","BRACAN","14.11.09",269,"Migr","Autumn"
"41","BRALEU","19.05.07",130,"Local","Spring"
"42","BRALEU","02.10.16",450,"Local","Autumn"
"43","BRALEU","16.05.14",10446,"Migr","Spring"
"44","BRALEU","26.09.12",25131,"Migr","Autumn"
"45","BRABER","29.05.13",1500,"Local","Spring"
"46","BRABER","11.10.84",210,"Local","Autumn"
"47","BRABER","25.05.94",26888,"Migr","Spring"
"48","BRABER","01.10.08",3070,"Migr","Autumn"
"49","TADTAD","04.04.01",20,"Local","Spring"
"50","TADTAD","11.07.97",16,"Local","Autumn"
"51","TADTAD","12.07.97",16,"Local","Autumn"
"52","TADTAD","13.07.97",16,"Local","Autumn"
"53","TADTAD","13.04.81",10,"Migr","Spring"
"54","TADTAD","09.04.82",10,"Migr","Spring"
"55","TADTAD","17.05.99",10,"Migr","Spring"
"56","TADTAD","19.04.00",10,"Migr","Spring"
"57","TADTAD","06.08.99",8,"Migr","Autumn"
"58","TADTAD","03.07.13",8,"Migr","Autumn"
"59","ANAPEN","20.04.02",300,"Local","Spring"
"60","ANAPEN","10.09.17",600,"Local","Autumn"
"61","ANAPEN","14.04.03",283,"Migr","Spring"
"62","ANAPEN","03.10.04",7652,"Migr","Autumn"
"63","ANASTR","13.05.14",11,"Local","Spring"
"64","ANASTR","25.05.16",11,"Local","Spring"
"65","ANASTR","22.06.06",12,"Local","Autumn"
"66","ANASTR","12.04.09",8,"Migr","Spring"
"67","ANASTR","12.10.02",3,"Migr","Autumn"
"68","ANASTR","06.09.04",3,"Migr","Autumn"
"69","ANASTR","21.09.10",3,"Migr","Autumn"
"70","ANASTR","19.08.14",3,"Migr","Autumn"
"71","ANASTR","18.08.15",3,"Migr","Autumn"
"72","ANACRE","23.04.13",500,"Local","Spring"
"73","ANACRE","01.09.15",450,"Local","Autumn"
"74","ANACRE","26.04.03",164,"Migr","Spring"
"75","ANACRE","28.08.01",589,"Migr","Autumn"
"76","ANAPLA","16.04.06",650,"Local","Spring"
"77","ANAPLA","21.12.12",520,"Local","Autumn"
"78","ANAPLA","08.04.10",712,"Migr","Spring"
"79","ANAPLA","07.11.99",545,"Migr","Autumn"
"80","ANAACU","23.04.13",61,"Local","Spring"
"81","ANAACU","17.09.00",49,"Local","Autumn"
"82","ANAACU","20.04.11",178,"Migr","Spring"
"83","ANAACU","03.10.04",541,"Migr","Autumn"
"84","ANAQUE","04.05.14",7,"Local","Spring"
"85","ANAQUE","31.07.89",10,"Local","Autumn"
"86","ANAQUE","06.05.79",6,"Migr","Spring"
"87","ANAQUE","27.08.07",6,"Migr","Autumn"
"88","ANACLY","26.04.09",38,"Local","Spring"
"89","ANACLY","09.09.17",50,"Local","Autumn"
"90","ANACLY","03.05.04",122,"Migr","Spring"
"91","ANACLY","28.08.01",132,"Migr","Autumn"
"92","AYTFER","27.04.79",20,"Local","Spring"
"93","AYTFER","27.09.98",6,"Local","Autumn"
"94","AYTFER","11.04.81",27,"Migr","Spring"
"95","AYTFER","20.04.85",27,"Migr","Spring"
"96","AYTFER","17.10.80",60,"Migr","Autumn"
"97","AYTFUL","18.03.09",720,"Local","Spring"
"98","AYTFUL","10.10.13",300,"Local","Autumn"
"99","AYTFUL","29.09.17",300,"Local","Autumn"
"100","AYTFUL","20.04.11",215,"Migr","Spring"
"101","AYTFUL","21.09.17",505,"Migr","Autumn"
"102","AYTMAR","23.01.09",61,"Local","Spring"
"103","AYTMAR","23.10.88",100,"Local","Autumn"
"104","AYTMAR","24.10.88",100,"Local","Autumn"
"105","AYTMAR","28.10.88",100,"Local","Autumn"
"106","AYTMAR","18.04.83",153,"Migr","Spring"
"107","AYTMAR","21.09.17",216,"Migr","Autumn"
"108","SOMMOL","11.04.80",17000,"Local","Spring"
"109","SOMMOL","19.09.92",30000,"Local","Autumn"
"110","SOMMOL","05.04.11",25830,"Migr","Spring"
"111","SOMMOL","28.09.07",2708,"Migr","Autumn"
"112","SOMSPE","30.04.80",2,"Migr","Spring"
"113","SOMSPE","11.04.83",2,"Migr","Spring"
"114","SOMSPE","06.04.94",2,"Migr","Spring"
"115","POLSTE","03.05.15",65,"Local","Spring"
"116","POLSTE","30.11.95",5,"Local","Autumn"
"117","POLSTE","05.12.95",5,"Local","Autumn"
"118","POLSTE","10.05.10",90,"Migr","Spring"
"119","POLSTE","10.11.03",10,"Migr","Autumn"
"120","CLAHYE","16.05.85",25000,"Local","Spring"
"121","CLAHYE","18.05.85",25000,"Local","Spring"
"122","CLAHYE","19.10.09",30000,"Local","Autumn"
"123","CLAHYE","01.11.09",30000,"Local","Autumn"
"124","CLAHYE","19.05.03",13889,"Migr","Spring"
"125","CLAHYE","05.10.14",38408,"Migr","Autumn"
"126","MELNIG","06.05.16",500,"Local","Spring"
"127","MELNIG","04.07.12",160,"Local","Autumn"
"128","MELNIG","06.05.16",8690,"Migr","Spring"
"129","MELNIG","25.09.11",1731,"Migr","Autumn"
"130","MELFUS","05.01.06",75,"Local","Spring"
"131","MELFUS","25.12.08",90,"Local","Autumn"
"132","MELFUS","04.06.12",90,"Local","Autumn"
"133","MELFUS","27.05.17",686,"Migr","Spring"
"134","MELFUS","01.06.00",150,"Migr","Autumn"
"135","BUCCLA","16.04.06",1567,"Local","Spring"
"136","BUCCLA","02.10.16",850,"Local","Autumn"
"137","BUCCLA","05.04.11",418,"Migr","Spring"
"138","BUCCLA","29.05.03",860,"Migr","Autumn"
"139","MERALB","13.04.84",28,"Local","Spring"
"140","MERALB","15.02.14",28,"Local","Spring"
"141","MERALB","10.10.79",10,"Local","Autumn"
"142","MERALB","10.04.04",48,"Migr","Spring"
"143","MERALB","20.10.01",22,"Migr","Autumn"
"144","MERSER","18.04.80",100,"Local","Spring"
"145","MERSER","17.07.08",100,"Local","Autumn"
"146","MERSER","05.04.11",263,"Migr","Spring"
"147","MERSER","14.10.01",128,"Migr","Autumn"
"148","MERMER","16.04.99",400,"Local","Spring"
"149","MERMER","31.08.88",450,"Local","Autumn"
"150","MERMER","27.04.85",207,"Migr","Spring"
"151","MERMER","31.12.02",390,"Migr","Autumn"
"152","TETRIX","20.04.00",4,"Local","Spring"
"153","TETRIX","21.04.00",4,"Local","Spring"
"154","TETRIX","22.04.00",4,"Local","Spring"
"155","TETRIX","11.03.07",4,"Local","Spring"
"156","TETRIX","13.02.14",4,"Local","Spring"
"157","TETRIX","28.02.14",4,"Local","Spring"
"158","TETRIX","20.04.14",4,"Local","Spring"
"159","TETRIX","23.10.88",6,"Local","Autumn"
"160","TETRIX","24.10.88",6,"Local","Autumn"
"161","TETRIX","01.11.88",6,"Local","Autumn"
"162","TETRIX","14.04.05",8,"Migr","Spring"
"163","TETRIX","23.10.80",4,"Migr","Autumn"
"164","TETRIX","05.10.88",4,"Migr","Autumn"
"165","TETRIX","08.10.88",4,"Migr","Autumn"
"166","TETRIX","19.10.05",4,"Migr","Autumn"
"167","PERPER","04.05.79",5,"Local","Spring"
"168","PHACOL","06.11.10",2,"Local","Autumn"
"169","GAVSTE","03.05.03",20,"Local","Spring"
"170","GAVSTE","03.10.81",3,"Local","Autumn"
"171","GAVSTE","15.10.82",3,"Local","Autumn"
"172","GAVSTE","23.07.83",3,"Local","Autumn"
"173","GAVSTE","30.05.04",79,"Migr","Spring"
"174","GAVSTE","16.09.00",69,"Migr","Autumn"
"175","GAVARC","27.05.80",15,"Local","Spring"
"176","GAVARC","26.10.81",10,"Local","Autumn"
"177","GAVARC","18.05.12",739,"Migr","Spring"
"178","GAVARC","08.10.03",288,"Migr","Autumn"
"179","TACRUF","15.02.09",3,"Local","Spring"
"180","TACRUF","18.02.09",3,"Local","Spring"
"181","TACRUF","19.02.09",3,"Local","Spring"
"182","TACRUF","20.02.09",3,"Local","Spring"
"183","TACRUF","21.02.09",3,"Local","Spring"
"184","TACRUF","23.02.09",3,"Local","Spring"
"185","PODCRI","29.04.79",150,"Local","Spring"
"186","PODCRI","29.09.84",82,"Local","Autumn"
"187","PODCRI","01.05.97",46,"Migr","Spring"
"188","PODCRI","25.08.13",15,"Migr","Autumn"
"189","PODGRI","21.04.08",33,"Local","Spring"
"190","PODGRI","04.09.88",9,"Local","Autumn"
"191","PODGRI","27.09.88",9,"Local","Autumn"
"192","PODGRI","28.04.01",19,"Migr","Spring"
"193","PODGRI","03.08.00",5,"Migr","Autumn"
"194","PODAUR","25.04.11",9,"Local","Spring"
"195","PODAUR","26.08.85",5,"Local","Autumn"
"196","PODAUR","28.08.85",5,"Local","Autumn"
"197","PODAUR","29.08.85",5,"Local","Autumn"
"198","PODAUR","24.04.82",2,"Migr","Spring"
"199","PODAUR","24.04.00",2,"Migr","Spring"
"200","PODAUR","28.04.01",2,"Migr","Spring"
"201","PODAUR","05.05.02",2,"Migr","Spring"
"202","PODAUR","12.05.03",2,"Migr","Spring"
"203","PODAUR","01.05.09",2,"Migr","Spring"
"204","PODAUR","12.05.13",2,"Migr","Spring"
"205","PODAUR","07.10.91",3,"Migr","Autumn"
"206","PHACAR","18.05.07",860,"Local","Spring"
"207","PHACAR","19.09.05",2800,"Local","Autumn"
"208","PHACAR","16.04.06",1319,"Migr","Spring"
"209","PHACAR","09.08.05",2442,"Migr","Autumn"
"210","EGRALB","29.04.17",2,"Local","Spring"
"211","EGRALB","21.09.17",3,"Local","Autumn"
"212","EGRALB","22.09.17",3,"Local","Autumn"
"213","EGRALB","23.09.17",3,"Local","Autumn"
"214","EGRALB","05.04.16",2,"Migr","Spring"
"215","EGRALB","12.05.16",2,"Migr","Spring"
"216","ARDCIN","11.02.09",17,"Local","Spring"
"217","ARDCIN","19.09.14",42,"Local","Autumn"
"218","ARDCIN","08.04.01",27,"Migr","Spring"
"219","ARDCIN","06.07.09",60,"Migr","Autumn"
"220","CICNIG","21.08.00",4,"Migr","Autumn"
"221","CICCIC","23.05.95",12,"Migr","Spring"
"222","CICCIC","29.08.99",3,"Migr","Autumn"
"223","PERAPI","27.07.91",4,"Local","Autumn"
"224","PERAPI","06.06.97",26,"Migr","Spring"
"225","PERAPI","18.09.10",173,"Migr","Autumn"
"226","MILMIG","26.08.08",2,"Local","Autumn"
"227","MILMIG","29.08.08",2,"Local","Autumn"
"228","MILMIG","30.08.08",2,"Local","Autumn"
"229","MILMIG","23.08.08",2,"Migr","Autumn"
"230","MILMIG","29.08.14",2,"Migr","Autumn"
"231","HALALB","12.02.06",28,"Local","Spring"
"232","HALALB","03.10.16",24,"Local","Autumn"
"233","HALALB","26.03.04",12,"Migr","Spring"
"234","HALALB","29.10.06",21,"Migr","Autumn"
"235","CIRAER","27.08.99",2,"Local","Autumn"
"236","CIRAER","23.08.06",2,"Local","Autumn"
"237","CIRAER","20.08.11",2,"Local","Autumn"
"238","CIRAER","23.08.12",2,"Local","Autumn"
"239","CIRAER","06.09.12",2,"Local","Autumn"
"240","CIRAER","24.04.97",5,"Migr","Spring"
"241","CIRAER","15.04.03",5,"Migr","Spring"
"242","CIRAER","17.04.13",5,"Migr","Spring"
"243","CIRAER","03.09.04",31,"Migr","Autumn"
"244","CIRCYA","06.09.84",3,"Local","Autumn"
"245","CIRCYA","25.04.92",7,"Migr","Spring"
"246","CIRCYA","12.09.82",47,"Migr","Autumn"
"247","CIRMAC","12.09.01",2,"Migr","Autumn"
"248","CIRMAC","01.09.15",2,"Migr","Autumn"
"249","CIRMAC","05.09.15",2,"Migr","Autumn"
"250","CIRMAC","19.08.16",2,"Migr","Autumn"
"251","ACCGEN","01.01.93",2,"Local","Spring"
"252","ACCGEN","05.01.97",2,"Local","Spring"
"253","ACCGEN","07.03.98",2,"Local","Spring"
"254","ACCGEN","28.02.09",2,"Local","Spring"
"255","ACCGEN","05.04.15",2,"Local","Spring"
"256","ACCGEN","13.10.90",6,"Local","Autumn"
"257","ACCGEN","05.04.85",3,"Migr","Spring"
"258","ACCGEN","15.10.03",41,"Migr","Autumn"
"259","ACCNIS","08.04.00",4,"Local","Spring"
"260","ACCNIS","11.09.92",50,"Local","Autumn"
"261","ACCNIS","26.08.00",50,"Local","Autumn"
"262","ACCNIS","10.04.98",44,"Migr","Spring"
"263","ACCNIS","26.08.08",1030,"Migr","Autumn"
"264","BUTBUT","10.05.79",2,"Local","Spring"
"265","BUTBUT","31.01.09",2,"Local","Spring"
"266","BUTBUT","13.01.10",2,"Local","Spring"
"267","BUTBUT","31.08.95",3,"Local","Autumn"
"268","BUTBUT","25.08.00",3,"Local","Autumn"
"269","BUTBUT","24.08.14",3,"Local","Autumn"
"270","BUTBUT","12.05.03",21,"Migr","Spring"
"271","BUTBUT","08.10.08",385,"Migr","Autumn"
"272","BUTLAG","23.01.12",3,"Local","Spring"
"273","BUTLAG","29.09.92",5,"Local","Autumn"
"274","BUTLAG","01.10.92",5,"Local","Autumn"
"275","BUTLAG","12.04.95",58,"Migr","Spring"
"276","BUTLAG","14.10.03",87,"Migr","Autumn"
"277","AQUCHR","29.10.06",11,"Migr","Autumn"
"278","PANHAL","15.05.04",2,"Local","Spring"
"279","PANHAL","01.06.04",2,"Local","Spring"
"280","PANHAL","25.05.12",2,"Local","Spring"
"281","PANHAL","18.08.02",4,"Local","Autumn"
"282","PANHAL","12.08.03",4,"Local","Autumn"
"283","PANHAL","16.04.06",8,"Migr","Spring"
"284","PANHAL","13.09.01",19,"Migr","Autumn"
"285","FALTIN","11.04.81",3,"Local","Spring"
"286","FALTIN","15.04.81",3,"Local","Spring"
"287","FALTIN","17.04.87",3,"Local","Spring"
"288","FALTIN","11.04.00",3,"Local","Spring"
"289","FALTIN","20.04.13",3,"Local","Spring"
"290","FALTIN","02.09.81",15,"Local","Autumn"
"291","FALTIN","30.04.12",12,"Migr","Spring"
"292","FALTIN","26.08.08",69,"Migr","Autumn"
"293","FALCOL","05.09.11",5,"Local","Autumn"
"294","FALCOL","24.04.11",5,"Migr","Spring"
"295","FALCOL","26.09.10",18,"Migr","Autumn"
"296","FALSUB","25.05.12",3,"Local","Spring"
"297","FALSUB","18.05.13",3,"Local","Spring"
"298","FALSUB","17.05.15",3,"Local","Spring"
"299","FALSUB","27.05.15",3,"Local","Spring"
"300","FALSUB","11.05.16",3,"Local","Spring"
"301","FALSUB","18.09.13",15,"Local","Autumn"
"302","FALSUB","08.05.13",18,"Migr","Spring"
"303","FALSUB","13.09.01",33,"Migr","Autumn"
"304","FALPER","30.09.14",3,"Local","Autumn"
"305","FALPER","29.04.09",2,"Migr","Spring"
"306","FALPER","08.10.11",4,"Migr","Autumn"
"307","FALPER","30.09.12",4,"Migr","Autumn"
"308","RALAQU","14.08.10",2,"Local","Autumn"
"309","RALAQU","11.09.11",2,"Local","Autumn"
"310","CRECRE","22.05.12",2,"Local","Spring"
"311","CRECRE","12.05.14",2,"Local","Spring"
"312","CRECRE","05.06.16",2,"Local","Spring"
"313","FULATR","17.04.94",100,"Local","Spring"
"314","GRUGRU","06.05.15",7,"Local","Spring"
"315","GRUGRU","29.08.93",31,"Local","Autumn"
"316","GRUGRU","22.04.13",10075,"Migr","Spring"
"317","GRUGRU","28.09.07",13603,"Migr","Autumn"
"318","RECAVO","18.04.92",2,"Local","Spring"
"319","RECAVO","24.04.12",2,"Local","Spring"
"320","RECAVO","09.05.09",4,"Migr","Spring"
"321","HAEOST","15.04.98",310,"Local","Spring"
"322","HAEOST","30.07.97",103,"Local","Autumn"
"323","HAEOST","04.05.13",2356,"Migr","Spring"
"324","HAEOST","12.08.97",440,"Migr","Autumn"
"325","PLUAPR","14.04.06",6,"Local","Spring"
"326","PLUAPR","30.08.02",28,"Local","Autumn"
"327","PLUAPR","26.04.08",163,"Migr","Spring"
"328","PLUAPR","09.09.95",131,"Migr","Autumn"
"329","PLUSQU","30.05.87",200,"Local","Spring"
"330","PLUSQU","06.10.82",15,"Local","Autumn"
"331","PLUSQU","01.08.89",15,"Local","Autumn"
"332","PLUSQU","03.08.08",15,"Local","Autumn"
"333","PLUSQU","27.05.87",2762,"Migr","Spring"
"334","PLUSQU","03.08.08",547,"Migr","Autumn"
"335","VANVAN","12.04.84",120,"Local","Spring"
"336","VANVAN","26.07.97",33,"Local","Autumn"
"337","VANVAN","01.04.11",2644,"Migr","Spring"
"338","VANVAN","24.07.10",162,"Migr","Autumn"
"339","CHADUB","15.05.97",6,"Local","Spring"
"340","CHADUB","25.07.94",11,"Local","Autumn"
"341","CHADUB","19.04.99",5,"Migr","Spring"
"342","CHADUB","07.08.89",6,"Migr","Autumn"
"343","CHAHIA","21.05.00",50,"Local","Spring"
"344","CHAHIA","21.08.96",70,"Local","Autumn"
"345","CHAHIA","31.08.96",70,"Local","Autumn"
"346","CHAHIA","31.08.02",70,"Local","Autumn"
"347","CHAHIA","27.08.15",70,"Local","Autumn"
"348","CHAHIA","31.05.14",121,"Migr","Spring"
"349","CHAHIA","28.08.01",153,"Migr","Autumn"
"350","CHAMOR","22.05.11",22,"Migr","Spring"
"351","CHAMOR","02.09.04",8,"Migr","Autumn"
"352","NUMPHA","02.05.16",25,"Local","Spring"
"353","NUMPHA","18.07.83",6,"Local","Autumn"
"354","NUMPHA","07.05.11",254,"Migr","Spring"
"355","NUMPHA","19.07.04",75,"Migr","Autumn"
"356","NUMARQ","21.04.85",358,"Local","Spring"
"357","NUMARQ","19.06.91",30,"Local","Autumn"
"358","NUMARQ","20.04.11",1881,"Migr","Spring"
"359","NUMARQ","19.06.10",457,"Migr","Autumn"
"360","LIMLIM","26.04.81",2,"Migr","Spring"
"361","LIMLAP","13.05.80",500,"Local","Spring"
"362","LIMLAP","27.07.97",28,"Local","Autumn"
"363","LIMLAP","09.05.08",1449,"Migr","Spring"
"364","LIMLAP","03.08.08",413,"Migr","Autumn"
"365","AREINT","09.05.79",12,"Local","Spring"
"366","AREINT","27.07.89",9,"Local","Autumn"
"367","AREINT","19.05.03",13,"Migr","Spring"
"368","AREINT","18.07.07",4,"Migr","Autumn"
"369","CALCAN","08.06.84",150,"Local","Spring"
"370","CALCAN","21.08.98",31,"Local","Autumn"
"371","CALCAN","06.06.80",2670,"Migr","Spring"
"372","CALCAN","26.07.12",60,"Migr","Autumn"
"373","CALPUG","14.05.11",38,"Local","Spring"
"374","CALPUG","17.09.96",300,"Local","Autumn"
"375","CALPUG","08.05.10",553,"Migr","Spring"
"376","CALPUG","06.08.10",51,"Migr","Autumn"
"377","CALFAL","27.05.17",12,"Local","Spring"
"378","CALFAL","30.07.98",11,"Local","Autumn"
"379","CALFAL","29.05.01",9,"Migr","Spring"
"380","CALFAL","30.05.14",9,"Migr","Spring"
"381","CALFAL","10.07.04",22,"Migr","Autumn"
"382","CALFER","07.09.85",21,"Local","Autumn"
"383","CALFER","28.08.01",13,"Migr","Autumn"
