"","sp","Date","Sum","Type","Season"
"768","PRUMOD","13.09.12",1251,"Migr","Autumn"
"769","ERIRUB","01.05.03",120,"Local","Spring"
"770","ERIRUB","22.04.11",120,"Local","Spring"
"771","ERIRUB","22.09.04",300,"Local","Autumn"
"772","ERIRUB","03.04.11",5,"Migr","Spring"
"773","ERIRUB","01.10.14",60,"Migr","Autumn"
"774","LUSLUS","21.05.09",14,"Local","Spring"
"775","LUSLUS","20.07.09",15,"Local","Autumn"
"776","LUSSVE","13.05.88",50,"Local","Spring"
"777","LUSSVE","04.09.81",7,"Local","Autumn"
"778","PHOOCH","09.04.11",2,"Migr","Spring"
"779","PHOPHO","11.05.85",30,"Local","Spring"
"780","PHOPHO","11.09.08",20,"Local","Autumn"
"781","PHOPHO","10.09.80",20,"Local","Autumn"
"782","PHOPHO","30.08.81",20,"Local","Autumn"
"783","PHOPHO","13.09.86",20,"Local","Autumn"
"784","PHOPHO","30.08.95",20,"Local","Autumn"
"785","PHOPHO","26.08.03",2,"Migr","Autumn"
"786","PHOPHO","18.08.12",2,"Migr","Autumn"
"787","SAXTRA","11.05.85",15,"Local","Spring"
"788","SAXTRA","19.08.90",15,"Local","Autumn"
"789","SAXTRA","29.08.00",15,"Local","Autumn"
"790","SAXTRA","27.08.97",26,"Migr","Autumn"
"791","OENOEN","28.04.83",20,"Local","Spring"
"792","OENOEN","04.08.81",15,"Local","Autumn"
"793","OENOEN","16.08.81",15,"Local","Autumn"
"794","OENOEN","22.08.85",15,"Local","Autumn"
"795","OENOEN","19.05.80",9,"Migr","Spring"
"796","OENOEN","11.09.99",15,"Migr","Autumn"
"797","TURTOR","16.05.79",2,"Local","Spring"
"798","TURTOR","04.05.13",2,"Local","Spring"
"799","TURTOR","27.04.13",4,"Migr","Spring"
"800","TURMER","04.04.09",45,"Local","Spring"
"801","TURMER","22.10.12",50,"Local","Autumn"
"802","TURMER","03.04.11",149,"Migr","Spring"
"803","TURMER","20.10.02",42,"Migr","Autumn"
"804","TURPIL","08.01.99",260,"Local","Spring"
"805","TURPIL","05.10.04",2000,"Local","Autumn"
"806","TURPIL","11.03.03",12330,"Migr","Spring"
"807","TURPIL","19.10.09",17325,"Migr","Autumn"
"808","TURPHI","23.04.99",150,"Local","Spring"
"809","TURPHI","15.09.86",100,"Local","Autumn"
"810","TURPHI","22.04.88",300,"Migr","Spring"
"811","TURPHI","26.09.11",156,"Migr","Autumn"
"812","TURILI","17.04.82",300,"Local","Spring"
"813","TURILI","11.04.99",300,"Local","Spring"
"814","TURILI","15.10.86",70,"Local","Autumn"
"815","TURILI","19.04.80",35724,"Migr","Spring"
"816","TURILI","10.10.89",437,"Migr","Autumn"
"817","TURVIS","14.04.91",6,"Local","Spring"
"818","TURVIS","17.04.92",6,"Local","Spring"
"819","TURVIS","16.10.09",120,"Local","Autumn"
"820","TURVIS","05.04.11",110,"Migr","Spring"
"821","TURVIS","30.09.07",1173,"Migr","Autumn"
"822","LOCNAE","05.08.11",2,"Local","Autumn"
"823","IDUCAL","13.06.11",2,"Local","Spring"
"824","HIPICT","30.05.88",15,"Local","Spring"
"825","HIPICT","21.07.88",30,"Local","Autumn"
"826","ACRSCH","04.06.94",6,"Local","Spring"
"827","ACRSCH","21.05.09",6,"Local","Spring"
"828","ACRSCH","21.08.87",12,"Local","Autumn"
"829","ACRSCH","18.05.87",2,"Migr","Spring"
"830","ACRDUM","06.06.98",4,"Local","Spring"
"831","ACRDUM","10.06.98",4,"Local","Spring"
"832","ACRDUM","30.05.07",4,"Local","Spring"
"833","ACRDUM","27.05.13",4,"Local","Spring"
"834","ACRDUM","17.07.98",5,"Local","Autumn"
"835","ACRDUM","18.07.98",5,"Local","Autumn"
"836","ACRDUM","24.07.98",5,"Local","Autumn"
"837","ACRDUM","25.07.98",5,"Local","Autumn"
"838","ACRDUM","26.07.98",5,"Local","Autumn"
"839","ACRRIS","31.05.95",5,"Local","Spring"
"840","ACRRIS","02.08.81",4,"Local","Autumn"
"841","ACRRIS","20.07.00",4,"Local","Autumn"
"842","ACRRIS","22.07.00",4,"Local","Autumn"
"843","ACRSCI","30.05.00",5,"Local","Spring"
"844","ACRSCI","28.07.98",5,"Local","Autumn"
"845","ACRARU","21.05.16",2,"Local","Spring"
"846","SYLNIS","04.06.82",6,"Local","Spring"
"847","SYLNIS","30.07.80",10,"Local","Autumn"
"848","SYLCUR","10.05.13",60,"Local","Spring"
"849","SYLCUR","13.08.85",30,"Local","Autumn"
"850","SYLCUR","21.08.85",30,"Local","Autumn"
"851","SYLCUR","06.08.08",30,"Local","Autumn"
"852","SYLCUR","12.05.02",4,"Migr","Spring"
"853","SYLCUR","22.08.93",3,"Migr","Autumn"
"854","SYLCOM","31.05.08",35,"Local","Spring"
"855","SYLCOM","24.07.98",25,"Local","Autumn"
"856","SYLCOM","29.05.08",3,"Migr","Spring"
"857","SYLCOM","31.07.17",3,"Migr","Autumn"
"858","SYLBOR","05.06.87",100,"Local","Spring"
"859","SYLBOR","21.08.85",200,"Local","Autumn"
"860","SYLATR","26.05.07",25,"Local","Spring"
"861","SYLATR","10.09.80",70,"Local","Autumn"
"862","SYLATR","26.10.86",2,"Migr","Autumn"
"863","PHYDES","25.05.14",5,"Local","Spring"
"864","PHYDES","03.08.89",5,"Local","Autumn"
"865","PHYDES","04.08.89",5,"Local","Autumn"
"866","PHYPRO","27.10.98",2,"Local","Autumn"
"867","PHYPRO","03.10.03",2,"Local","Autumn"
"868","PHYPRO","05.10.03",2,"Local","Autumn"
"869","PHYINO","20.09.15",5,"Local","Autumn"
"870","PHYSIB","09.05.14",7,"Local","Spring"
"871","PHYSIB","21.08.85",25,"Local","Autumn"
"872","PHYSIB","17.05.10",2,"Migr","Spring"
"873","PHYSIB","08.08.84",4,"Migr","Autumn"
"874","PHYSIB","19.08.05",4,"Migr","Autumn"
"875","PHYCOL","09.05.81",20,"Local","Spring"
"876","PHYCOL","10.05.81",20,"Local","Spring"
"877","PHYCOL","04.10.98",30,"Local","Autumn"
"878","PHYCOL","09.10.10",30,"Local","Autumn"
"879","PHYCOL","26.09.92",30,"Local","Autumn"
"880","PHYCOL","30.09.17",30,"Local","Autumn"
"881","PHYCOL","20.04.01",2,"Migr","Spring"
"882","PHYCOL","27.04.03",2,"Migr","Spring"
"883","PHYCOL","24.04.11",2,"Migr","Spring"
"884","PHYCOL","27.04.12",2,"Migr","Spring"
"885","PHYCOL","05.10.16",2,"Migr","Autumn"
"886","PHYLUS","31.05.91",150,"Local","Spring"
"887","PHYLUS","21.08.83",400,"Local","Autumn"
"888","PHYLUS","01.09.83",400,"Local","Autumn"
"889","PHYLUS","18.08.87",400,"Local","Autumn"
"890","PHYLUS","27.08.88",400,"Local","Autumn"
"891","PHYLUS","01.09.94",400,"Local","Autumn"
"892","PHYLUS","18.08.03",400,"Local","Autumn"
"893","PHYLUS","10.05.10",6,"Migr","Spring"
"894","PHYLUS","29.08.10",28,"Migr","Autumn"
"895","REGREG","20.03.92",130,"Local","Spring"
"896","REGREG","07.10.08",1000,"Local","Autumn"
"897","REGREG","31.03.17",14,"Migr","Spring"
"898","REGREG","05.10.00",745,"Migr","Autumn"
"899","MUSSTR","21.05.09",40,"Local","Spring"
"900","MUSSTR","27.08.85",80,"Local","Autumn"
"901","MUSSTR","25.05.14",40,"Migr","Spring"
"902","MUSSTR","31.08.85",190,"Migr","Autumn"
"903","FICPAR","09.05.13",8,"Local","Spring"
"904","FICPAR","14.09.10",11,"Local","Autumn"
"905","FICPAR","25.08.12",2,"Migr","Autumn"
"906","FICHYP","14.05.86",40,"Local","Spring"
"907","FICHYP","24.08.82",35,"Local","Autumn"
"908","FICHYP","16.08.95",35,"Local","Autumn"
"909","FICHYP","15.08.12",35,"Local","Autumn"
"910","FICHYP","02.05.10",5,"Migr","Spring"
"911","FICHYP","16.08.95",16,"Migr","Autumn"
"912","PANBIA","15.04.09",2,"Migr","Spring"
"913","PANBIA","06.10.16",14,"Migr","Autumn"
"914","AEGCAU","16.03.92",12,"Local","Spring"
"915","AEGCAU","17.03.92",12,"Local","Spring"
"916","AEGCAU","16.10.00",500,"Local","Autumn"
"917","AEGCAU","24.03.17",10,"Migr","Spring"
"918","AEGCAU","15.10.00",8680,"Migr","Autumn"
"919","CYACAE","27.03.99",35,"Local","Spring"
"920","CYACAE","11.10.90",700,"Local","Autumn"
"921","CYACAE","10.04.11",282,"Migr","Spring"
"922","CYACAE","05.10.99",7355,"Migr","Autumn"
"923","PARMAJ","03.04.88",50,"Local","Spring"
"924","PARMAJ","01.01.03",50,"Local","Spring"
"925","PARMAJ","26.02.07",50,"Local","Spring"
"926","PARMAJ","16.10.81",702,"Local","Autumn"
"927","PARMAJ","01.04.08",74,"Migr","Spring"
"928","PARMAJ","05.10.99",5948,"Migr","Autumn"
"929","PERATE","11.03.05",6,"Local","Spring"
"930","PERATE","21.09.83",500,"Local","Autumn"
"931","PERATE","27.09.83",500,"Local","Autumn"
"932","PERATE","02.05.03",7,"Migr","Spring"
"933","PERATE","19.09.09",9757,"Migr","Autumn"
"934","LOPCRI","27.04.84",3,"Local","Spring"
"935","LOPCRI","11.04.95",3,"Local","Spring"
"936","LOPCRI","26.02.05",3,"Local","Spring"
"937","LOPCRI","07.02.09",3,"Local","Spring"
"938","LOPCRI","19.09.92",14,"Local","Autumn"
"939","LOPCRI","30.03.04",2,"Migr","Spring"
"940","LOPCRI","01.04.04",2,"Migr","Spring"
"941","LOPCRI","03.04.04",2,"Migr","Spring"
"942","LOPCRI","01.04.09",2,"Migr","Spring"
"943","LOPCRI","20.09.10",18,"Migr","Autumn"
"944","POEMON","01.01.80",5,"Local","Spring"
"945","POEMON","02.01.80",5,"Local","Spring"
"946","POEMON","06.01.80",5,"Local","Spring"
"947","POEMON","30.01.80",5,"Local","Spring"
"948","POEMON","24.09.80",300,"Local","Autumn"
"949","POEMON","28.09.80",300,"Local","Autumn"
"950","POEMON","20.09.10",2971,"Migr","Autumn"
"951","POECIN","14.10.94",5,"Local","Autumn"
"952","POECIN","06.10.01",5,"Migr","Autumn"
"953","SITEUR","10.10.81",3,"Local","Autumn"
"954","SITEUR","27.10.83",3,"Local","Autumn"
"955","SITEUR","07.10.90",3,"Local","Autumn"
"956","SITEUR","11.10.90",3,"Local","Autumn"
"957","SITEUR","22.10.95",3,"Local","Autumn"
"958","SITEUR","09.10.14",3,"Local","Autumn"
"959","SITEUR","12.10.95",123,"Migr","Autumn"
"960","CERFAM","21.03.92",10,"Local","Spring"
"961","CERFAM","28.10.08",50,"Local","Autumn"
"962","CERFAM","30.03.05",2,"Migr","Spring"
"963","CERFAM","29.10.08",11,"Migr","Autumn"
"964","REMPEN","08.08.12",6,"Local","Autumn"
"965","REMPEN","09.08.12",6,"Local","Autumn"
"966","REMPEN","28.03.16",2,"Migr","Spring"
"967","ORIORI","03.06.14",2,"Local","Spring"
"968","ORIORI","30.05.16",2,"Local","Spring"
"969","ORIORI","07.06.17",2,"Local","Spring"
"970","ORIORI","10.06.00",3,"Migr","Spring"
"971","LANCOL","07.06.79",10,"Local","Spring"
"972","LANCOL","30.05.88",10,"Local","Spring"
"973","LANCOL","08.06.91",10,"Local","Spring"
"974","LANCOL","27.08.97",15,"Local","Autumn"
"975","LANCOL","06.08.79",15,"Local","Autumn"
"976","LANCOL","24.08.88",15,"Local","Autumn"
"977","LANCOL","31.05.08",3,"Migr","Spring"
"978","LANCOL","20.05.07",3,"Migr","Spring"
"979","LANCOL","31.07.84",2,"Migr","Autumn"
"980","LANEXC","24.04.93",2,"Local","Spring"
"981","LANEXC","15.04.05",2,"Local","Spring"
"982","LANEXC","06.04.12",2,"Local","Spring"
"983","LANEXC","06.11.91",4,"Local","Autumn"
"984","LANEXC","12.10.02",4,"Local","Autumn"
"985","LANEXC","19.04.80",2,"Migr","Spring"
"986","LANEXC","17.04.00",2,"Migr","Spring"
"987","LANEXC","15.04.05",2,"Migr","Spring"
"988","LANEXC","02.10.83",15,"Migr","Autumn"
"989","GARGLA","07.10.90",30,"Local","Autumn"
"990","GARGLA","01.06.00",9,"Migr","Spring"
"991","GARGLA","25.09.10",3265,"Migr","Autumn"
"992","PICPIC","01.04.92",8,"Local","Spring"
"993","PICPIC","12.09.86",5,"Local","Autumn"
"994","PICPIC","13.09.86",5,"Local","Autumn"
"995","PICPIC","31.12.02",5,"Local","Autumn"
"996","PICPIC","06.08.09",5,"Local","Autumn"
"997","PICPIC","04.03.10",11,"Migr","Spring"
"998","PICPIC","04.11.99",59,"Migr","Autumn"
"999","NUCCAR","06.09.85",20,"Local","Autumn"
"1000","NUCCAR","28.08.95",2022,"Migr","Autumn"
"1001","CORMON","29.05.13",50,"Local","Spring"
"1002","CORMON","08.11.14",170,"Local","Autumn"
"1003","CORMON","20.04.13",564,"Migr","Spring"
"1004","CORMON","11.10.13",6769,"Migr","Autumn"
"1005","CORFRU","26.03.91",40,"Local","Spring"
"1006","CORFRU","31.03.91",40,"Local","Spring"
"1007","CORFRU","31.10.89",25,"Local","Autumn"
"1008","CORFRU","10.04.80",84,"Migr","Spring"
"1009","CORFRU","20.10.00",38,"Migr","Autumn"
"1010","CORNIX","31.03.91",150,"Local","Spring"
"1011","CORNIX","19.09.92",200,"Local","Autumn"
"1012","CORNIX","27.09.93",200,"Local","Autumn"
"1013","CORNIX","22.09.98",200,"Local","Autumn"
"1014","CORNIX","14.10.00",200,"Local","Autumn"
"1015","CORNIX","17.03.04",118,"Migr","Spring"
"1016","CORNIX","10.10.99",2176,"Migr","Autumn"
"1017","CORRAX","30.03.92",35,"Local","Spring"
"1018","CORRAX","21.03.08",35,"Local","Spring"
"1019","CORRAX","22.09.12",50,"Local","Autumn"
"1020","CORRAX","29.02.12",44,"Migr","Spring"
"1021","CORRAX","09.09.12",94,"Migr","Autumn"
"1022","STUVUL","29.03.92",140,"Local","Spring"
"1023","STUVUL","12.08.17",450,"Local","Autumn"
"1024","STUVUL","09.04.06",965,"Migr","Spring"
"1025","STUVUL","31.10.81",3896,"Migr","Autumn"
"1026","PASDOM","30.04.96",2,"Local","Spring"
"1027","PASDOM","01.01.08",2,"Local","Spring"
"1028","PASDOM","02.01.08",2,"Local","Spring"
"1029","PASDOM","03.01.08",2,"Local","Spring"
"1030","PASDOM","14.04.09",2,"Local","Spring"
"1031","PASDOM","05.07.10",15,"Local","Autumn"
"1032","PASDOM","25.04.80",8,"Migr","Spring"
"1033","PASDOM","13.10.88",439,"Migr","Autumn"
"1034","PASMON","30.04.10",11,"Local","Spring"
"1035","PASMON","05.08.14",40,"Local","Autumn"
"1036","PASMON","09.04.11",5,"Migr","Spring"
"1037","PASMON","11.10.13",588,"Migr","Autumn"
"1038","FRICOE","16.04.84",200,"Local","Spring"
"1039","FRICOE","05.04.91",200,"Local","Spring"
"1040","FRICOE","06.10.90",400,"Local","Autumn"
"1041","FRICOE","18.04.99",17020,"Migr","Spring"
"1042","FRICOE","20.09.05",54330,"Migr","Autumn"
"1043","FRIMON","30.04.97",80,"Local","Spring"
"1044","FRIMON","06.10.14",200,"Local","Autumn"
"1045","FRIMON","19.04.15",203,"Migr","Spring"
"1046","FRIMON","03.10.00",12326,"Migr","Autumn"
"1047","SERSER","01.05.09",2,"Local","Spring"
"1048","SERSER","12.06.12",2,"Local","Spring"
"1049","SERSER","20.06.92",4,"Migr","Spring"
"1050","CARCHL","20.02.01",102,"Local","Spring"
"1051","CARCHL","20.10.88",150,"Local","Autumn"
"1052","CARCHL","09.04.06",299,"Migr","Spring"
"1053","CARCHL","10.10.01",3517,"Migr","Autumn"
"1054","CARCAR","09.02.10",14,"Local","Spring"
"1055","CARCAR","10.02.10",14,"Local","Spring"
"1056","CARCAR","15.02.10",14,"Local","Spring"
"1057","CARCAR","21.02.10",14,"Local","Spring"
"1058","CARCAR","24.02.10",14,"Local","Spring"
"1059","CARCAR","26.02.10",14,"Local","Spring"
"1060","CARCAR","21.10.93",30,"Local","Autumn"
"1061","CARCAR","24.04.10",13,"Migr","Spring"
"1062","CARCAR","27.10.15",130,"Migr","Autumn"
"1063","CARSPI","27.02.01",800,"Local","Spring"
"1064","CARSPI","10.10.86",1000,"Local","Autumn"
"1065","CARSPI","31.10.98",1000,"Local","Autumn"
"1066","CARSPI","17.10.02",1000,"Local","Autumn"
"1067","CARSPI","29.04.98",2492,"Migr","Spring"
"1068","CARSPI","04.10.06",26807,"Migr","Autumn"
"1069","CARCAN","06.04.94",10,"Local","Spring"
"1070","CARCAN","15.05.94",10,"Local","Spring"
"1071","CARCAN","29.09.00",20,"Local","Autumn"
"1072","CARCAN","04.08.15",20,"Local","Autumn"
"1073","CARCAN","10.04.80",71,"Migr","Spring"
"1074","CARCAN","17.10.83",162,"Migr","Autumn"
"1075","CARRIS","06.03.09",4,"Local","Spring"
"1076","CARRIS","28.11.00",2,"Local","Autumn"
"1077","CARRIS","01.03.09",2,"Migr","Spring"
"1078","CARRIS","26.04.12",2,"Migr","Spring"
"1079","CARRIS","05.11.17",8,"Migr","Autumn"
"1080","CARMEA","01.01.99",200,"Local","Spring"
"1081","CARMEA","24.01.99",200,"Local","Spring"
"1082","CARMEA","20.04.11",200,"Local","Spring"
"1083","CARMEA","07.11.84",500,"Local","Autumn"
"1084","CARMEA","24.03.01",6933,"Migr","Spring"
"1085","CARMEA","28.10.00",3986,"Migr","Autumn"
"1086","CARHOR","16.01.96",2,"Local","Spring"
"1087","CARHOR","23.10.95",6,"Local","Autumn"
"1088","CARHOR","26.10.13",3,"Migr","Autumn"
"1089","LOXLEU","29.09.13",11,"Local","Autumn"
"1090","LOXLEU","29.07.11",40,"Migr","Autumn"
"1091","LOXCUR","28.05.95",20,"Local","Spring"
"1092","LOXCUR","22.08.85",20,"Local","Autumn"
"1093","LOXCUR","17.07.96",20,"Local","Autumn"
"1094","LOXCUR","28.05.13",405,"Migr","Spring"
"1095","LOXCUR","06.08.04",1973,"Migr","Autumn"
"1096","LOXPYT","13.01.83",7,"Local","Spring"
"1097","LOXPYT","21.10.82",20,"Local","Autumn"
"1098","LOXPYT","07.04.91",15,"Migr","Spring"
"1099","LOXPYT","08.10.09",79,"Migr","Autumn"
"1100","CARERY","26.05.03",25,"Local","Spring"
"1101","CARERY","07.08.81",10,"Local","Autumn"
"1102","CARERY","26.05.03",511,"Migr","Spring"
"1103","CARERY","17.08.85",104,"Migr","Autumn"
"1104","PINENU","13.02.13",2,"Local","Spring"
"1105","PINENU","27.10.12",25,"Local","Autumn"
"1106","PINENU","29.01.01",6,"Migr","Spring"
"1107","PINENU","16.11.12",64,"Migr","Autumn"
"1108","PYRPYR","02.03.10",25,"Local","Spring"
"1109","PYRPYR","01.11.85",100,"Local","Autumn"
"1110","PYRPYR","19.10.92",100,"Local","Autumn"
"1111","PYRPYR","15.03.94",75,"Migr","Spring"
"1112","PYRPYR","26.10.95",1541,"Migr","Autumn"
"1113","COCCOC","27.05.02",3,"Local","Spring"
"1114","COCCOC","28.05.02",3,"Local","Spring"
"1115","COCCOC","30.05.02",3,"Local","Spring"
"1116","COCCOC","10.04.09",3,"Local","Spring"
"1117","COCCOC","09.05.13",3,"Local","Spring"
"1118","COCCOC","21.10.92",5,"Local","Autumn"
"1119","COCCOC","18.04.99",31,"Migr","Spring"
"1120","COCCOC","01.11.98",11,"Migr","Autumn"
"1121","CALLAP","25.04.96",2,"Local","Spring"
"1122","CALLAP","29.04.03",2,"Local","Spring"
"1123","CALLAP","04.09.00",3,"Local","Autumn"
"1124","CALLAP","01.05.03",12,"Migr","Spring"
"1125","CALLAP","14.09.84",23,"Migr","Autumn"
"1126","PLENIV","30.03.92",60,"Local","Spring"
"1127","PLENIV","26.10.04",40,"Local","Autumn"
"1128","PLENIV","29.03.95",354,"Migr","Spring"
"1129","PLENIV","25.10.82",318,"Migr","Autumn"
"1130","EMBCIT","07.04.93",30,"Local","Spring"
"1131","EMBCIT","07.10.90",40,"Local","Autumn"
"1132","EMBCIT","06.04.81",186,"Migr","Spring"
"1133","EMBCIT","21.10.79",578,"Migr","Autumn"
"1134","EMBHOR","11.05.87",6,"Local","Spring"
"1135","EMBHOR","18.08.82",3,"Local","Autumn"
"1136","EMBHOR","10.05.82",13,"Migr","Spring"
"1137","EMBHOR","24.08.82",65,"Migr","Autumn"
"1138","EMBRUS","11.05.96",4,"Local","Spring"
"1139","EMBRUS","04.09.81",3,"Local","Autumn"
"1140","EMBRUS","07.05.81",15,"Migr","Spring"
"1141","EMBRUS","14.09.83",5,"Migr","Autumn"
"1142","EMBSCH","21.04.04",40,"Local","Spring"
"1143","EMBSCH","25.04.95",40,"Local","Spring"
"1144","EMBSCH","20.09.02",25,"Local","Autumn"
"1145","EMBSCH","19.04.98",75,"Migr","Spring"
"1146","EMBSCH","01.10.82",159,"Migr","Autumn"
